Pack														Map													Zone																																																																																									Connections													
Field count							Options																					Type					Restrictions				Player towns					Neutral towns					Town types										Minimum mines							Mine Density							Terrain											Monsters													Treasure									Options												Zones		Options							Restrictions			
																											7	x				20	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-390 40					3		1	x	4	16	3000							1	8	2	8	
																											8	x				20	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-240 -40					3		1	x	4	20	3000							1	8	2	8	
																											9			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x		1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-60 300					3		1	x	5	21	3000							1	8	2	8	
																											10			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x					1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				160 100					3		1	x	5	25	3000							1	8	2	8	
																											11			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x		1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-120 100					3		1	x	6	22	3000							1	8	2	8	
																											12			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x					1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-240 100					3		1	x	6	26	3000							1	8	2	8	
																											13			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x		1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-520 100					3		1	x	7	21	3000							1	8	2	8	
																											14			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x					1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-60 -100					3		1	x	7	25	3000							1	8	2	8	
																											15			x		20	1	8	2	8																						1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 300					3		1	x	8	22	3000							1	8	2	8	
																											16			x		20	1	8	2	8																									1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				90 100					3		1	x	8	26	3000							1	8	2	8	
																											17			x		10	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-180 240					3		1	x	9	15	6000							1	8	2	8	
																											18			x		10	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				30 100					3		1	x	9	15	6000							1	8	2	8	
																											19			x		20	1	8	2	8																						1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 160					3		1	x	10	16	6000							1	8	2	8	
																											20			x		20	1	8	2	8																									1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-50 100					3		1	x	10	16	6000							1	8	2	8	
																											21			x		20	1	8	2	8																						1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-310 100					3		1	x	11	19	6000							1	8	2	8	
																											22			x		20	1	8	2	8																									1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 40					3		1	x	11	20	6000							1	8	2	8	
																											23			x		10	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-390 100					3		1	x	11	20	6000							1	8	2	8	
																											24			x		10	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-180 -50					3		1	x	11	22	6000							1	8	2	8	
																											25			x		20	1	8	2	8																						1		1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-450 100					3		1	x	12	19	6000							1	8	2	8	
																											26			x		20	1	8	2	8																									1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 -100					3		1	x	12	21	6000							1	8	2	8	
																																																																																																																				12	21	6000							1	8	2	8	
																																																																																																																				12	22	6000							1	8	2	8	
																																																																																																																				13	25	6000							1	8	2	8	
																																																																																																																				13	25	6000							1	8	2	8	
																																																																																																																				14	26	6000							1	8	2	8	
																																																																																																																				14	26	6000							1	8	2	8	
																																																																																																																				17	19	12500							1	8	2	8	
																																																																																																																				17	19	12500							1	8	2	8	
																																																																																																																				18	20	12500							1	8	2	8	
																																																																																																																				18	20	12500							1	8	2	8	
																																																																																																																				21	23	12500							1	8	2	8	
																																																																																																																				21	23	12500							1	8	2	8	
																																																																																																																				22	24	12500							1	8	2	8	
																																																																																																																				22	24	12500							1	8	2	8	
														8MM0b	1	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				20	1	8	7	8	1		1								x	x	x	x	x	x	x	x	x	x	1	1	1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				40 0					3		1	x	1	2	3000							1	8	7	8	
																											2	x				20	1	8	7	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1	1											x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				10 -60					3		1	x	1	8	3000							1	8	7	8	
																											3	x				20	1	8	7	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1		1										x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				40 -120					3		1	x	1	9	6000							1	8	7	8	
																											4	x				20	1	8	7	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1			1									x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				100 -150					3		1	x	2	3	3000							1	8	7	8	
																											5	x				20	1	8	7	8	2		1								x	x	x	x	x	x	x	x	x	x	1	1	1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				160 -120					3		1	x	2	9	6000							1	8	7	8	
																											6	x				20	1	8	7	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1	1											x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				190 -60					3		1	x	3	4	3000							1	8	7	8	
																											7	x				20	1	8	7	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1		1										x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				160 0					3		1	x	3	9	6000							1	8	7	8	
																											8	x				20	1	8	7	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1			1									x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				100 30					3		1	x	4	5	3000							1	8	7	8	
																											9			x		20	1	8	7	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				100 -60					3		1	x	4	9	6000							1	8	7	8	
																																																																																																																				5	6	3000							1	8	7	8	
																																																																																																																				5	9	6000							1	8	7	8	
																																																																																																																				6	7	3000							1	8	7	8	
																																																																																																																				6	9	6000							1	8	7	8	
																																																																																																																				7	8	3000							1	8	7	8	
																																																																																																																				7	9	6000							1	8	7	8	
																																																																																																																				8	9	6000							1	8	7	8	
														8XM12	32	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				15	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				140 140					3		1	x	1	21	3000							1	8	2	8	
																											2	x				15	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				140 -100					3		1	x	1	24	3000							1	8	2	8	
																											3	x				15	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				90 90					3		1	x	2	23	3000							1	8	2	8	
																											4	x				15	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				90 -50					3		1	x	2	25	3000							1	8	2	8	
																											5	x				15	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-50 90					3		1	x	3	11	3000							1	8	2	8	
																											6	x				15	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-50 -50					3		1	x	3	11	3000							1	8	2	8	
																											7	x				15	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-100 140					3		1	x	3	14	3000							1	8	2	8	
																											8	x				15	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-100 -100					3		1	x	3	14	3000							1	8	2	8	
																											9			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				200 100					3		1	x	3	22	3000							1	8	2	8	
																											10			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				200 -60					3		1	x	3	26	3000							1	8	2	8	
																											11			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				100 20					3		1	x	4	11	3000							1	8	2	8	
																											12			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				100 200					3		1	x	4	11	3000							1	8	2	8	
																											13			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				100 -160					3		1	x	4	15	3000							1	8	2	8	
																											14			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				20 100					3		1	x	4	15	3000							1	8	2	8	
																											15			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				20 -60					3		1	x	4	22	3000							1	8	2	8	
																											16			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-60 200					3		1	x	4	27	3000							1	8	2	8	
																											17			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-60 -160					3		1	x	5	14	3000							1	8	2	8	
																											18			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-60 20					3		1	x	5	14	3000							1	8	2	8	
																											19			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-160 100					3		1	x	5	18	3000							1	8	2	8	
																											20			x		15	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-160 -60					3		1	x	5	18	3000							1	8	2	8	
																											21			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				220 160					3		1	x	5	26	3000							1	8	2	8	
																											22			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				160 20					3		1	x	5	31	3000							1	8	2	8	
																											23			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				220 -120					3		1	x	6	15	3000							1	8	2	8	
																											24			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				160 220					3		1	x	6	15	3000							1	8	2	8	
																											25			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				160 -180					3		1	x	6	18	3000							1	8	2	8	
																											26			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				20 160					3		1	x	6	18	3000							1	8	2	8	
																											27			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				20 -120					3		1	x	6	27	3000							1	8	2	8	
																											28			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 220					3		1	x	6	31	3000							1	8	2	8	
																											29			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 -180					3		1	x	7	28	3000							1	8	2	8	
																											30			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 160					3		1	x	7	30	3000							1	8	2	8	
																											31			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 20					3		1	x	8	29	3000							1	8	2	8	
																											32			x		15	1	8	2	8																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 -120					3		1	x	8	32	3000							1	8	2	8	
																											33			x		15	1	8	2	8																						2		2	2	2	2									x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				20 20					3		1	x	9	21	3000							1	8	2	8	
																																																																																																																				9	22	3000							1	8	2	8	
																																																																																																																				9	22	3000							1	8	2	8	
																																																																																																																				10	22	3000							1	8	2	8	
																																																																																																																				10	22	3000							1	8	2	8	
																																																																																																																				10	23	3000							1	8	2	8	
																																																																																																																				11	22	3000							1	8	2	8	
																																																																																																																				11	33	9000							1	8	2	8	
																																																																																																																				12	24	3000							1	8	2	8	
																																																																																																																				12	26	3000							1	8	2	8	
																																																																																																																				12	26	3000							1	8	2	8	
																																																																																																																				13	25	3000							1	8	2	8	
																																																																																																																				13	27	3000							1	8	2	8	
																																																																																																																				13	27	3000							1	8	2	8	
																																																																																																																				14	26	3000							1	8	2	8	
																																																																																																																				14	33	9000							1	8	2	8	
																																																																																																																				15	27	3000							1	8	2	8	
																																																																																																																				15	33	9000							1	8	2	8	
																																																																																																																				16	26	3000							1	8	2	8	
																																																																																																																				16	26	3000							1	8	2	8	
																																																																																																																				16	28	3000							1	8	2	8	
																																																																																																																				17	27	3000							1	8	2	8	
																																																																																																																				17	27	3000							1	8	2	8	
																																																																																																																				17	29	3000							1	8	2	8	
																																																																																																																				18	31	3000							1	8	2	8	
																																																																																																																				18	33	9000							1	8	2	8	
																																																																																																																				19	30	3000							1	8	2	8	
																																																																																																																				19	31	3000							1	8	2	8	
																																																																																																																				19	31	3000							1	8	2	8	
																																																																																																																				20	31	3000							1	8	2	8	
																																																																																																																				20	31	3000							1	8	2	8	
																																																																																																																				20	32	3000							1	8	2	8	
																																																																																																																				21	24	3000							1	8	2	8	
																																																																																																																				23	25	3000							1	8	2	8	
																																																																																																																				28	30	3000							1	8	2	8	
																																																																																																																				29	32	3000							1	8	2	8	
														8XM8	32	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				20	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-200 -240					3		1	x	1	17	3000							1	8	2	8	
																											2	x				20	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				200 -240					3		1	x	1	18	3000							1	8	2	8	
																											3	x				20	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-200 -80					3		1	x	2	23	3000							1	8	2	8	
																											4	x				20	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				200 -80					3		1	x	2	24	3000							1	8	2	8	
																											5	x				20	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-200 0					3		1	x	3	27	3000							1	8	2	8	
																											6	x				20	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				200 0					3		1	x	3	28	3000							1	8	2	8	
																											7	x				20	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-200 160					3		1	x	4	29	3000							1	8	2	8	
																											8	x				20	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				200 160					3		1	x	4	30	3000							1	8	2	8	
																											9			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-40 -160					3		1	x	5	35	3000							1	8	2	8	
																											10			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				40 -160					3		1	x	5	36	3000							1	8	2	8	
																											11			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-360 -160					3		1	x	6	37	3000							1	8	2	8	
																											12			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				360 -160					3		1	x	6	38	3000							1	8	2	8	
																											13			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-360 80					3		1	x	7	41	3000							1	8	2	8	
																											14			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				360 80					3		1	x	7	42	3000							1	8	2	8	
																											15			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				-40 80					3		1	x	8	47	3000							1	8	2	8	
																											16			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9				40 80					3		1	x	8	48	3000							1	8	2	8	
																											17			x		20	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-280 -240					3		1	x	9	19	6000							1	8	2	8	
																											18			x		20	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-120 -240					3		1	x	9	20	6000							1	8	2	8	
																											19			x		20	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-40 -240					3		1	x	10	21	6000							1	8	2	8	
																											20			x		20	1	8	2	8																										1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-40 -80					3		1	x	10	22	6000							1	8	2	8	
																											21			x		20	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				40 -80					3		1	x	11	25	6000							1	8	2	8	
																											22			x		20	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				40 -240					3		1	x	11	26	6000							1	8	2	8	
																											23			x		20	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				120 -240					3		1	x	12	31	6000							1	8	2	8	
																											24			x		20	1	8	2	8																										1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				280 -240					3		1	x	12	32	6000							1	8	2	8	
																											25			x		20	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-360 -240					3		1	x	13	33	6000							1	8	2	8	
																											26			x		20	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-360 -80					3		1	x	13	34	6000							1	8	2	8	
																											27			x		20	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-280 -80					3		1	x	14	39	6000							1	8	2	8	
																											28			x		20	1	8	2	8																										1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-120 -80					3		1	x	14	40	6000							1	8	2	8	
																											29			x		20	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				120 -80					3		1	x	15	43	6000							1	8	2	8	
																											30			x		20	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				280 -80					3		1	x	15	44	6000							1	8	2	8	
																											31			x		20	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				360 -80					3		1	x	16	45	6000							1	8	2	8	
																											32			x		20	1	8	2	8																										1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				360 -240					3		1	x	16	46	6000							1	8	2	8	
																											33			x		20	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-360 160					3		1	x	17	25	3000							1	8	2	8	
																											34			x		20	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-360 0					3		1	x	18	19	3000							1	8	2	8	
																											35			x		20	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-280 0					3		1	x	20	21	3000							1	8	2	8	
																											36			x		20	1	8	2	8																										1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				-120 0					3		1	x	20	28	3000							1	8	2	8	
																											37			x		20	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				120 0					3		1	x	21	29	3000							1	8	2	8	
																											38			x		20	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				280 0					3		1	x	22	23	3000							1	8	2	8	
																											39			x		20	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	10000	20000	6	7500	10000	9				360 0					3		1	x	24	32	3000							1	8	2	8	
